President,Date,Link,Speech
George Washington ,"January 8, 1790",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-january-8-1790," Fellow-Citizens of the Senate and House of Representatives:  I embrace with great satisfaction the opportunity which now presents itself of congratulating you on the present favorable prospects of our public affairs. The recent accession of the important state of North Carolina to the Constitution of the United States (of which official information has been received), the rising credit and respectability of our country, the general and increasing good will toward the government of the Union, and the concord, peace, and plenty with which we are blessed are circumstances auspicious in an eminent degree to our national prosperity.  In resuming your consultations for the general good you can not but derive encouragement from the reflection that the measures of the last session have been as satisfactory to your constituents as the novelty and difficulty of the work allowed you to hope. Still further to realize their expectations and to secure the blessings which a gracious Providence has placed within our reach will in the course of the present important session call for the cool and deliberate exertion of your patriotism, firmness, and wisdom. "
George Washington ,"December 8, 1790",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-december-8-1790," Fellow-Citizens of the Senate and House of Representatives:  In meeting you again I feel much satisfaction in being able to repeat my congratulations on the favorable prospects which continue to distinguish our public affairs. The abundant fruits of another year have blessed our country with plenty and with the means of a flourishing commerce.  The progress of public credit is witnessed by a considerable rise of American stock abroad as well as at home, and the revenues allotted for this and other national purposes have been productive beyond the calculations by which they were regulated. This latter circumstance is the more pleasing, as it is not only a proof of the fertility of our resources, but as it assures us of a further increase of the national respectability and credit, and, let me add, as it bears an honorable testimony to the patriotism and integrity of the mercantile and marine part of our citizens. The punctuality of the former in discharging their engagements has been exemplary. "
George Washington ,"October 25, 1791",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-october-25-1791," Fellow-Citizens of the Senate and House of Representatives:  ""In vain may we expect peace with the Indians on our frontiers so long as a lawless set of unprincipled wretches can violate the rights of hospitality, or infringe the most solemn treaties, without receiving the punishment they so justly merit.""  I meet you upon the present occasion with the feelings which are naturally inspired by a strong impression of the prosperous situations of our common country, and by a persuasion equally strong that the labors of the session which has just commenced will, under the guidance of a spirit no less prudent than patriotic, issue in measures conducive to the stability and increase of national prosperity. "
George Washington ,"November 6, 1792",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-november-6-1792," Fellow-Citizens of the Senate and House of Representatives:  It is some abatement of the satisfaction with which I meet you on the present occasion that, in felicitating you on a continuance of the national prosperity generally, I am not able to add to it information that the Indian hostilities which have for some time past distressed our Northwestern frontier have terminated.  You will, I am persuaded, learn with no less concern than I communicate it that reiterated endeavors toward effecting a pacification have hitherto issued only in new and outrageous proofs of persevering hostility on the part of the tribes with whom we are in contest. An earnest desire to procure tranquillity to the frontier, to stop the further effusion of blood, to arrest the progress of expense, to forward the prevalent wish of the nation for peace has led to strenuous efforts through various channels to accomplish these desirable purposes; in making which efforts I consulted less my own anticipations of the event, or the scruples which some considerations were calculated to inspire, than the wish to find the object attainable, or if not attainable, to ascertain unequivocally that such is the case. "
George Washington ,"December 3, 1793",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-december-3-1793," Fellow-Citizens of the Senate and House of Representatives:  Since the commencement of the term for which I have been again called into office no fit occasion has arisen for expressing to my fellow citizens at large the deep and respectful sense which I feel of the renewed testimony of public approbation. While on the one hand it awakened my gratitude for all those instances of affectionate partiality with which I have been honored by my country, on the other it could not prevent an earnest wish for that retirement from which no private consideration should ever have torn me. But influenced by the belief that my conduct would be estimated according to its real motives, and that the people, and the authorities derived from them, would support exertions having nothing personal for their object, I have obeyed the suffrage which commanded me to resume the Executive power; and I humbly implore that Being on whose will the fate of nations depends to crown with success our mutual endeavors for the general happiness.  As soon as the war in Europe had embraced those powers with whom the United States have the most extensive relations there was reason to apprehend that our intercourse with them might be interrupted and our disposition for peace drawn into question by the suspicions too often entertained by belligerent nations. It seemed, therefore, to be my duty to admonish our citizens of the consequences of a contraband trade and of hostile acts to any of the parties, and to obtain by a declaration of the existing legal state of things an easier admission of our right to the immunities belonging to our situation. Under these impressions the proclamation which will be laid before you was issued. "
George Washington ,"November 19, 1794",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-november-19-1794," Fellow-Citizens of the Senate and House of Representatives:  When we call to mind the gracious indulgence of Heaven by which the American people became a nation; when we survey the general prosperity of our country, and look forward to the riches, power, and happiness to which it seems destined, with the deepest regret do I announce to you that during your recess some of the citizens of the United States have been found capable of insurrection. It is due, however, to the character of our Government and to its stability, which can not be shaken by the enemies of order, freely to unfold the course of this event.  During the session of the year 1790 it was expedient to exercise the legislative power granted by the Constitution of the United States ""to lay and collect excises"". In a majority of the States scarcely an objection was heard to this mode of taxation. In some, indeed, alarms were at first conceived, until they were banished by reason and patriotism. In the four western counties of Pennsylvania a prejudice, fostered and imbittered by the artifice of men who labored for an ascendency over the will of others by the guidance of their passions, produced symptoms of riot and violence. "
George Washington ,"December 8, 1795",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-december-8-1795," Fellow-Citizens of the Senate and House of Representatives:  I trust I do not deceive myself when I indulge the persuasion that I have never met you at any period when more than at the present the situation of our public affairs has afforded just cause for mutual congratulation, and for inviting you to join with me in profound gratitude to the Author of all Good for the numerous and extraordinary blessings we enjoy.  The termination of the long, expensive, and distressing war in which we have been engaged with certain Indians northwest of the Ohio is placed in the option of the United States by a treaty which the commander of our army has concluded provisionally with the hostile tribes in that region. "
George Washington ,"December 7, 1796",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-george-washington-december-7-1796," Fellow-Citizens of the Senate and House of Representatives:  In recurring to the internal situation of our country since I had last the pleasure to address you, I find ample reason for a renewed expression of that gratitude to the Ruler of the Universe which a continued series of prosperity has so often and so justly called forth.  The acts of the last session which required special arrangements have been as far as circumstances would admit carried into operation. "
John Adams ,"November 22, 1797",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-adams-november-22-1797," Gentlemen of the Senate and Gentlemen of the House of Representatives:  I was for some time apprehensive that it would be necessary, on account of the contagious sickness which afflicted the city of Philadelphia, to convene the National Legislature at some other place. This measure it was desirable to avoid, because it would occasion much public inconvenience and a considerable public expense and add to the calamities of the inhabitants of this city, whose sufferings must have excited the sympathy of all their fellow citizens. Therefore, after taking measures to ascertain the state and decline of the sickness, I postponed my determination, having hopes, now happily realized, that, without hazard to the lives or health of the members, Congress might assemble at this place, where it was next by law to meet. I submit, however, to your consideration whether a power to postpone the meeting of Congress, without passing the time fixed by the Constitution upon such occasions, would not be a useful amendment to the law of 1794.  Although I can not yet congratulate you on the reestablishment of peace in Europe and the restoration of security to the persons and properties of our citizens from injustice and violence at sea, we have, nevertheless, abundant cause of gratitude to the source of benevolence and influence for interior tranquillity and personal security, for propitious seasons, prosperous agriculture, productive fisheries, and general improvements, and, above all, for a rational spirit of civil and religious liberty and a calm but steady determination to support our sovereignty, as well as our moral and our religious principles, against all open and secret attacks. "
John Adams ,"December 8, 1798",https://www.infoplease.com/primary-sources/government/presidential-speeches/state-union-address-john-adams-december-8-1798," Gentlemen of the Senate and Gentlemen of the House of Representatives:  While with reverence and resignation we contemplate the dispensations of Divine Providence in the alarming and destructive pestilence with which several of our cities and towns have been visited, there is cause for gratitude and mutual congratulations that the malady has disappeared and that we are again permitted to assemble in safety at the seat of Government for the discharge of our important duties. But when we reflect that this fatal disorder has within a few years made repeated ravages in some of our principal sea ports, and with increased malignancy, and when we consider the magnitude of the evils arising from the interruption of public and private business, whereby the national interests are deeply affected, I think it my duty to invite the Legislature of the Union to examine the expediency of establishing suitable regulations in aid of the health laws of the respective States; for these being formed on the idea that contagious sickness may be communicated through the channels of commerce, there seems to be a necessity that Congress, who alone can regulate trade, should frame a system which, while it may tend to preserve the general health, may be compatible with the interests of commerce and the safety of the revenue.  While we think on this calamity and sympathize with the immediate sufferers, we have abundant reason to present to the Supreme Being our annual oblations of gratitude for a liberal participation in the ordinary blessings of His providence. To the usual subjects of gratitude I can not omit to add one of the first importance to our well being and safety; I mean that spirit which has arisen in our country against the menaces and aggression of a foreign nation. A manly sense of national honor, dignity, and independence has appeared which, if encouraged and invigorated by every branch of the Government, will enable us to view undismayed the enterprises of any foreign power and become the sure foundation of national prosperity and glory. "
