ID,Name,Happy Hour,Take-out,Drive-Thru,Caters,Noise Level,Takes Reservations,Delivery,Has TV,Outdoor Seating,Attire,Alcohol,Waiter Service,Accepts Credit Cards,Good for Kids,Good For Groups,Good For Dancing,Price Range,Wi-Fi,Smoking,Coat Check
5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,,True,False,False,average,False,False,False,False,casual,none,False,True,True,True,,1,,,
UsFtqoBl7naz8AVUBZMjQQ,Clancy's Pub,True,,,,,,,,False,,,,True,,True,,1,,,
3eu6MEFlq2Dg7bQh8QbdOg,Joe Cislo's Auto,,,,,,,,,,,,,,,,,,,,
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,,,,,,,,,,,,,,True,,,,,,
HZdLhv6COCleJMo7nPl-RA,Verizon,,,,,,,,,,,,,False,,,,2,,,
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,False,True,,True,average,False,False,True,False,casual,full_bar,True,True,True,True,False,1,no,no,False
VHYT1qgQw5JvXAlUDhTArA,Extreme Fitness 2,,,,,,,,,,,,,,False,,,,,,
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,True,True,,False,loud,False,False,True,True,casual,full_bar,True,True,False,True,True,1,free,outdoor,False
b12U9TFESStdy7CsTtcOeg,Flynn's Tire And Auto Service,,,,,,,,,,,,,,,,,,,,
Sktj1eHQFuVa-M4bgnEh8g,Forsythe Miniature Golf & Snacks,,,,,,,,,,,,,,True,,,,,,
3ZVKmuK2l7uXPE6lXY4Dbg,Quaker State Construction,,,,,,,,,,,,,,,,,,,,
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,,,,,,,,,,,,,,,,,,,,
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,,,,,,,,,,,,,,,,,,,,
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,,,,,,,,,,,,,,,,,,,,
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,,True,False,,,False,False,,False,casual,none,True,True,True,True,,1,,,
yXuao0pFz1AxB21vJjDf5w,Shop N' Save,,,,,,,,,,,,,True,,,,1,,,
F04xyOUA2xnUoCiWpx9iJA,Rossi Tailoring & Cleaners,,,,,,,,,,,,,True,,,,,,,
Cdcus0NADzyY3XiJM2O5Sg,Heidelberg B P,,,,,,,,,,,,,,,,,,,,
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,,True,,False,average,False,False,True,False,casual,full_bar,True,True,True,True,False,1,free,no,False
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,,True,,False,average,False,False,True,False,casual,none,True,False,True,False,,1,no,,
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,,True,,,average,False,False,False,False,casual,none,True,True,True,True,,1,,,
