ID,Name,Monday Open,Monday Closed,Tuesday Open,Tuesday Closed,Wednesday Open,Wednesday Closed,Thursday Open,Thursday Closed,Friday Open,Friday Closed,Saturday Open,Saturday Closed,Sunday Open,Sunday Closed
5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,,,,
UsFtqoBl7naz8AVUBZMjQQ,Clancy's Pub,,,,,,,,,,,,,,
3eu6MEFlq2Dg7bQh8QbdOg,Joe Cislo's Auto,,,,,,,,,,,,,,
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,,,,,,,,,,,,,,
HZdLhv6COCleJMo7nPl-RA,Verizon,10:00,21:00,10:00,21:00,10:00,21:00,10:00,17:00,10:00,17:00,10:00,21:00,11:00,18:00
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,,,10:00,19:00,10:00,19:00,10:00,19:00,10:00,20:00,10:00,16:00,,
VHYT1qgQw5JvXAlUDhTArA,Extreme Fitness 2,,,,,,,,,,,,,,
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,11:00,2:00,12:00,2:00,,
b12U9TFESStdy7CsTtcOeg,Flynn's Tire And Auto Service,7:30,19:00,7:30,19:00,7:30,19:00,7:30,19:00,7:30,19:00,7:30,16:00,,
Sktj1eHQFuVa-M4bgnEh8g,Forsythe Miniature Golf & Snacks,,,,,,,,,,,,,,
3ZVKmuK2l7uXPE6lXY4Dbg,Quaker State Construction,,,,,,,,,,,,,,
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,,,,,,,,,,,,,,
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,,,,,,,,,,,,,,
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,,,,,,,,,,,,,,
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,8:00,2:00,8:00,2:00,8:00,2:00,8:00,2:00,8:00,2:00,8:00,2:00,8:00,2:00
yXuao0pFz1AxB21vJjDf5w,Shop N' Save,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00
F04xyOUA2xnUoCiWpx9iJA,Rossi Tailoring & Cleaners,,,,,,,,,,,,,,
Cdcus0NADzyY3XiJM2O5Sg,Heidelberg B P,,,,,,,,,,,,,,
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,11:00,23:00,,
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,6:00,14:30,6:00,14:30,6:00,14:30,6:00,14:30,6:00,14:30,6:00,12:30,7:00,12:30
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,7:00,14:00,7:00,14:00,7:00,14:00,7:00,14:00,7:00,14:00,7:00,12:00,,
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,,,,,,,,,,,,,,
6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,,,,,,,,,,,,,,
woOVJ0Z2f6XNCDntHA3b_g,Alteration World,8:30,19:00,8:30,19:00,8:30,19:00,8:30,19:00,8:30,19:00,8:30,18:30,,
YX_cdwb0A62hdQRBiZJgtQ,Greentree Auto Body,,,,,,,,,,,,,,
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,,,,,,,,,,,,,,
e_U_FnpdKVgNb4mUN2cU_Q,"Weinberg Lisa, DMD",,,,,,,,,,,,,,
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,,,,,,,,,,,,,,
L0YSY79uzz_FIInvKmvyIw,West Penn Dental Centers,9:00,16:00,9:00,16:00,12:00,18:00,9:00,18:00,9:00,15:00,,,,
wqu7ILomIOPSduRwoWp4AQ,Denny's,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00,0:00
1u2NauOy8xDj7aFQET680A,Amerifit,,,,,,,,,,,,,,
P1fJb2WQ1mXoiudj8UE44w,Papa J's,11:00,22:00,11:00,22:00,11:00,22:00,11:00,22:00,11:00,23:00,11:00,23:00,11:00,21:00
