ID,Name,Open,Stars,Review Count,Address,City,Neighborhoods,State,Longitude,Latitude,Type,Category
5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,True,4.5,4,4734 Lebanon Church Rd Dravosburg PA 15034,Dravosburg,,PA,-79.9007057,40.3543266,business,Fast Food & Restaurants
UsFtqoBl7naz8AVUBZMjQQ,Clancy's Pub,True,3.5,4,202 McClure St Dravosburg PA 15034,Dravosburg,,PA,-79.8868138,40.3505527,business,Nightlife
3eu6MEFlq2Dg7bQh8QbdOg,Joe Cislo's Auto,True,5.0,3,1 Ravine St Dravosburg PA 15034,Dravosburg,,PA,-79.889059,40.3509559,business,Auto Repair & Automotive
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,False,2.5,5,1530 Hamilton Rd Bethel Park PA 15234,Bethel Park,,PA,-80.0146597,40.3541155,business,Active Life & Mini Golf & Golf
HZdLhv6COCleJMo7nPl-RA,Verizon,True,2.5,5,301 South Hills Village Pittsburgh PA 15241,Pittsburgh,,PA,-80.05998,40.35762,business,Shopping & Home Services & Internet Service Providers & Mobile Phones & Professional Services & Electronics
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,True,5.0,20,414 Hawkins Ave rankin PA 15104,rankin,,PA,-79.8802474,40.4134643,business,Bars & American (New) & Nightlife & Lounges & Restaurants
VHYT1qgQw5JvXAlUDhTArA,Extreme Fitness 2,True,2.5,3,2101 Greentree Rd Ste B201 Pittsburgh PA 15220,Pittsburgh,,PA,-80.0708968,40.3903858,business,Active Life & Trainers & Fitness & Instruction
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,True,4.0,21,141 Hawthorne St Greentree Carnegie PA 15106,Carnegie,Greentree,PA,-80.067534,40.415517,business,Bars & American (Traditional) & Nightlife & Restaurants
b12U9TFESStdy7CsTtcOeg,Flynn's Tire And Auto Service,True,2.5,7,718A Hope Hollow Rd Carnegie PA 15106,Carnegie,,PA,-80.0844539,40.394588,business,Auto Repair & Automotive & Tires
Sktj1eHQFuVa-M4bgnEh8g,Forsythe Miniature Golf & Snacks,False,4.0,4,920 Forsythe Rd Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0762665,40.4054039,business,Active Life & Mini Golf
3ZVKmuK2l7uXPE6lXY4Dbg,Quaker State Construction,True,2.5,3,8 Logan St Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0903575,40.406323,business,Home Services & Contractors
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,True,4.0,5,2080 Greentree Rd Pittsburgh PA 15220,Pittsburgh,,PA,-80.0691338,40.3922071,business,Veterinarians & Pets
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,True,4.5,3,300 Beechwood Ave Carnegie Carnegie PA 15106,Carnegie,Carnegie,PA,-80.0858661,40.4068423,business,Libraries & Public Services & Government
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,True,3.5,3,1011 Washington Ave Carnegie PA 15106,Carnegie,,PA,-80.0824517,40.3983526,business,Automotive & Auto Parts & Supplies
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,True,3.5,8,2100 Washington Pike Carnegie PA 15106,Carnegie,,PA,-80.0932152,40.3875124,business,Burgers & Breakfast & Brunch & American (Traditional) & Restaurants
yXuao0pFz1AxB21vJjDf5w,Shop N' Save,True,4.0,4,2100 Washington Pike Carnegie PA 15106,Carnegie,,PA,-80.0932152,40.3875124,business,Food & Grocery
