ID,Name,garage,street,validated,lot,valet
5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,False,False,False,False,False
UsFtqoBl7naz8AVUBZMjQQ,Clancy's Pub,,,,,
3eu6MEFlq2Dg7bQh8QbdOg,Joe Cislo's Auto,,,,,
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,,,,,
HZdLhv6COCleJMo7nPl-RA,Verizon,False,False,False,False,False
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,False,False,False,False,False
VHYT1qgQw5JvXAlUDhTArA,Extreme Fitness 2,,,,,
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,False,False,False,True,False
b12U9TFESStdy7CsTtcOeg,Flynn's Tire And Auto Service,,,,,
Sktj1eHQFuVa-M4bgnEh8g,Forsythe Miniature Golf & Snacks,,,,,
3ZVKmuK2l7uXPE6lXY4Dbg,Quaker State Construction,,,,,
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,,,,,
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,,,,,
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,,,,,
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,False,False,False,False,False
yXuao0pFz1AxB21vJjDf5w,Shop N' Save,False,False,False,True,False
F04xyOUA2xnUoCiWpx9iJA,Rossi Tailoring & Cleaners,,,,,
Cdcus0NADzyY3XiJM2O5Sg,Heidelberg B P,,,,,
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,False,False,False,True,False
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,False,False,False,True,False
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,False,False,False,False,False
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,,,,,
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,False,True,False,False,False
6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,,,,,
woOVJ0Z2f6XNCDntHA3b_g,Alteration World,,,,,
YX_cdwb0A62hdQRBiZJgtQ,Greentree Auto Body,,,,,
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,False,False,False,False,False
e_U_FnpdKVgNb4mUN2cU_Q,"Weinberg Lisa, DMD",,,,,
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,False,False,False,False,False
L0YSY79uzz_FIInvKmvyIw,West Penn Dental Centers,,,,,
wqu7ILomIOPSduRwoWp4AQ,Denny's,False,False,False,False,False
1u2NauOy8xDj7aFQET680A,Amerifit,,,,,
P1fJb2WQ1mXoiudj8UE44w,Papa J's,False,True,False,True,False
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,,,,,
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,,,,,
