ID,Name,dessert,latenight,lunch,dinner,brunch,breakfast
5UmKMjUEUNdYWqANhGckJw,Mr Hoagie,False,False,False,False,False,False
UsFtqoBl7naz8AVUBZMjQQ,Clancy's Pub,,,,,,
3eu6MEFlq2Dg7bQh8QbdOg,Joe Cislo's Auto,,,,,,
cE27W9VPgO88Qxe4ol6y_g,Cool Springs Golf Center,,,,,,
HZdLhv6COCleJMo7nPl-RA,Verizon,,,,,,
mVHrayjG3uZ_RLHkLj-AMg,Emil's Lounge,False,False,True,False,False,False
VHYT1qgQw5JvXAlUDhTArA,Extreme Fitness 2,,,,,,
KayYbHCt-RkbGcPdGOThNg,Alexion's Bar & Grill,False,False,False,True,False,False
b12U9TFESStdy7CsTtcOeg,Flynn's Tire And Auto Service,,,,,,
Sktj1eHQFuVa-M4bgnEh8g,Forsythe Miniature Golf & Snacks,,,,,,
3ZVKmuK2l7uXPE6lXY4Dbg,Quaker State Construction,,,,,,
QoDa50dc7g62xciFygXB9w,Greentree Animal Clinic,,,,,,
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie Free Library,,,,,,
_qopVQ6_Mz6W7-Pmbi56GQ,Advance Auto Parts,,,,,,
wJr6kSA5dchdgOdwH6dZ2w,Kings Family Restaurant,False,False,False,False,False,False
yXuao0pFz1AxB21vJjDf5w,Shop N' Save,,,,,,
F04xyOUA2xnUoCiWpx9iJA,Rossi Tailoring & Cleaners,,,,,,
Cdcus0NADzyY3XiJM2O5Sg,Heidelberg B P,,,,,,
fNGIbpazjTRdXgwRY_NIXA,Rocky's Lounge,False,False,False,False,False,False
b9WZJp5L1RZr4F1nxclOoQ,Gab & Eat,False,False,False,False,False,True
zaXDakTd3RXyOa7sMrUE1g,Barb's Country Junction Cafe,False,False,False,False,True,False
zgy27FSnvwdINfk5cXBIyQ,Extended Stay America - Pittsburgh - Carnegie,,,,,,
WETE_LykpcnrC1sFcQ5EGg,Paddy's Pour House,False,True,False,True,False,False
6o3RK6rTcN3nw-j-r2nQmA,Porto Fino Pizzaria & Gyro,,,,,,
woOVJ0Z2f6XNCDntHA3b_g,Alteration World,,,,,,
YX_cdwb0A62hdQRBiZJgtQ,Greentree Auto Body,,,,,,
rv7CY8G_XibTx82YhuqQRw,Long John Silver's,,,,,,
e_U_FnpdKVgNb4mUN2cU_Q,"Weinberg Lisa, DMD",,,,,,
SQ0j7bgSTazkVQlF5AnqyQ,Don Don Chinese Restaurant,,,,,,
L0YSY79uzz_FIInvKmvyIw,West Penn Dental Centers,,,,,,
wqu7ILomIOPSduRwoWp4AQ,Denny's,False,False,False,False,True,False
1u2NauOy8xDj7aFQET680A,Amerifit,,,,,,
P1fJb2WQ1mXoiudj8UE44w,Papa J's,False,False,False,True,False,False
8QlnAcjGE6dgfKTVoxrPvQ,Boston Market,,,,,,
t_gan0EXAw8csKIeFyazJw,Homestead Capri Pizza,,,,,,
3gmBc0qN_LtGbZAjTtHWZg,Starbucks,,,,,,
sZ4uYs99km644ZMR1TO76A,Randy's Beer Barrel Pub,,,,,,
yHTLTr-QN-loO_7XoxS8qg,Michaels,,,,,,
iQLLIdmJSt6LQHSjpZERLA,Yankee Candle Co.,,,,,,
6ilJq_05xRgek_8qUp36-g,Steak 'n Shake,False,True,False,False,False,False
57HN9fGRar_GckBmgHgemA,Filene's Basement,,,,,,
MKyk4F4HSzHF8v-4cYe3Ww,Sing Sing,False,True,False,False,False,False
0hrB2iwQZ52VZcZWYywXrA,Joe Dilorio's Auto Body Shop,,,,,,
gClSqcwuLsgyZRCzhJc7Dg,Lowe's Home Improvement,,,,,,
1qCuOcks5HRv67OHovAVpg,Duke's Upper Deck Cafe,False,False,True,False,False,False
sbW8qHJgzEIH42B0S-3New,Dave & Buster's,False,True,False,False,False,False
CgGT6sr4OCF2BHYngOIqlw,Paw's In the Family Pet Grooming,,,,,,
W7ysp8GLCBrs0GXIVwAcBQ,Wendy's,False,False,False,False,False,False
-taSf0shFSUKy9iCXnySsA,Italian Village Pizza,,,,,,
McikHxxEqZ2X0joaRNKlaw,Rock Bottom,False,False,False,True,False,False
frIRW4BGhdAWbSsG5ev2ng,Master Muffler & Brakes,,,,,,
tv8cS4aaA1VDaInYgggb6g,Improv Comedy Club,,,,,,
eT5Ck7Gg1dBJobca9VFovw,Giant Eagle,,,,,,
HwwEfnZKLNOUoqfgcwAgcQ,Barnes & Noble Booksellers,,,,,,
EoAY1JSVeJriBzId8lUQwQ,Bar Louie,False,False,False,True,False,False
uI0LvTXFACid1308KFO5ew,Sandcastle Water Park,,,,,,
Y4CcDDyMoDpK7BbpKawWjw,American Buyers Discount Mattress Store,,,,,,
RxKrw38oyeYszQ6guY5b1A,First Class Limousine Service,,,,,,
TfvWSIAMFZ9zI3y2-K6wOA,The Dragon Chinese Cuisine,False,False,False,False,False,False
tU-YtoW339PXJmUGSix_AQ,TGI Friday's,True,False,False,False,False,False
6p9TlP2I8S4agxYMNFSDjg,Uno Pizzeria & Grill,False,False,False,True,False,False
Eu3Iwje0YY8ectr-CxMgqg,Bath & Body Works,,,,,,
XhbC5Qj5nBcqcKLPRd8izQ,Victoria's Secret,,,,,,
FituZ4jYzRe41ac9uvcHaQ,LOFT,,,,,,
JDDeaNfb0JXD1NbznSIC9g,P.F. Chang's China Bistro,False,False,True,True,False,False
oPX8bpZ3dqviYQuic0Ahqw,Gordon Shoes,,,,,,
FiXamVMgMf9U0VqFHDZSEA,Panera Bread,False,False,False,False,True,False
LG_Dgv7u7P2ASDWU1RAyWQ,Munhall Veterinary Hospital,,,,,,
ISKLP0qxApATxRlUDob6Cg,Target,,,,,,
DMy5IG-dNrH4ARk96KngEA,Men's Wearhouse,,,,,,
uLnDFdn011hEroQQMLmxNQ,The Pizza Company,,,,,,
rdATJvFQK4C73NIQ3zoY3w,DSW Designer Shoe Warehouse,,,,,,
g10zmpUzmMJOOIjj_JJPvg,Bed Bath & Beyond,,,,,,
eznh0XjVtv924K-KYx_ilQ,Eat'n Park,True,False,False,False,True,False
LQFWH1AKJlXGmEBlIKsBCw,TJ Maxx,,,,,,
LO2CjrNL8DXkvm9uALgRjQ,Marshalls,,,,,,
usSROUMiAgPcxV3Ym0OxMQ,Mitchell's Fish Market,False,False,True,True,False,False
qfL7ZFkxqDZOPIaVVfT3Aw,Old Navy,,,,,,
GlYPVYSOVT7zn00Kk_Oz4g,Dick's Sporting Goods,,,,,,
WaHXyBwljbKNPmmJZn5j8Q,Shop 'n Save,,,,,,
bCw9HKDFLU_PppnNg-nIlw,Giant Eagle,,,,,,
CL3tZqbYT7B5zgewKCS6-Q,McDonald's,,,,,,
u22QDAON1kk0wjoTliyftw,Latina Pizza,False,False,False,False,False,False
4ykgzzzGEWjMD5lwk1-l9A,Big Bang Bicycles,,,,,,
53Yk2EODWnV9qHQECzeHVQ,Bellisario Pizza Shop,False,False,False,False,False,False
iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,False,False,False,False,False,False
hnHt6EinzC-IX6y3GSF7jw,Minerva Bakery,,,,,,
LiMXTPwanF3LkkKHklFCjw,Pierogies Plus,,,,,,
GJAv1nAfnHuab8oRyr8mXg,Eat'n Park Restaurant,False,False,False,False,False,False
r8BwdblCW-ZUES37BL0khw,Broadway Brunch,False,False,False,False,True,False
mIiHJkpK8nZvW_45LlhrbA,Pasquarelli's Pizza House,False,False,False,False,False,False
bN3jIkPqbqroQJteJsC2uw,Island Avenue Tattoo,,,,,,
OZfpG8tDCcIEq8pzgZdyKw,Applebee's,False,False,False,False,False,False
OSYHPhvDWMqBRDZblqGiZA,Giant Eagle,,,,,,
8Nm_jcCYtMXYW0ODSHDiXA,Sapporo Japanese Steakhouse,False,False,False,False,False,False
9tAbTDdYTASHL7EU1e-OWw,Ricci Italian Sausage,,,,,,
imM-x_nAxVtYGVFJJ4FS3Q,Cindy Esser's Floral Shop,,,,,,
T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,False,False,False,True,False,False
TpLtXNrNK0FcmSLtNN7rpQ,Valvoline Instant Oil Change,,,,,,
eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,False,False,False,False,False,False
